"FileName","Url","FileType","SiteUrl","LibraryTitle","FolderPath","DocNumber","Description","Modified1","SizeBytes","UniqueId","ListId","ItemId","SearchText","WBS Description","Doc Type","FullTitleText","Main Group","Sub Group","Revision","Status","blobData","Company","SummaryText","DocKey","Sub_Vendor","AISummary","AISummarizedOn","AIKeywords","Discipline","FileLink","MDDRKey"
"6105AK038-0100-ED24-0015_2 .pdf","https://ppetechcoza.sharepoint.com/sites/DocumentControl/K110%20%20Solar%20Photovoltaic%20Power%20Plant%20Documents%20for%20Approval/6105AK038-0100-ED24-0015_2%20.pdf","pdf","https://ppetechcoza.sharepoint.com/sites/DocumentControl","K110  Solar Photovoltaic Power Plant Documents for Approval","https://ppetechcoza.sharepoint.com/sites/DocumentControl/K110%20%20Solar%20Photovoltaic%20Power%20Plant%20Documents%20for%20Approval","6105AK038-0100-ED24-0015_2 ","MV Distribution Transformers - Technical Specification",,,,,,"6105AK038-0100-ED24-0015_2 ","Technical","Specification","MV Distribution Transformers - Technical Specification","Technical","Specification",,"Q1 - Q1 : Quality is below Standard - Revise and Resubmit",,"PPE Technologies","DockName: MV Distribution Transformers - Technical Specification  
Discipline: Electrical  
DocumentType: Specification  
Topic: Technical  
Summary:  
- Specifies requirements for medium voltage (MV) distribution transformers.  
- Details technical parameters such as voltage ratings, power capacity, and efficiency.  
- Outlines installation guidelines and operational considerations.  
- Includes compliance standards and testing protocols.  
- Intended for use in the Reko Diq Mining Project's electrical infrastructure.  ","K110-SOLARPHOTOVOLTAICPOWERPLANT-366","Not Awarded",,,,"Electrical",,
"6105AK038-0100-ED24-0010_2.pdf","https://ppetechcoza.sharepoint.com/sites/DocumentControl/K110%20%20Solar%20Photovoltaic%20Power%20Plant%20Documents%20for%20Approval/6105AK038-0100-ED24-0010_2.pdf","pdf","https://ppetechcoza.sharepoint.com/sites/DocumentControl","K110  Solar Photovoltaic Power Plant Documents for Approval","https://ppetechcoza.sharepoint.com/sites/DocumentControl/K110%20%20Solar%20Photovoltaic%20Power%20Plant%20Documents%20for%20Approval","6105AK038-0100-ED24-0010_2","MV Distribution Transformers - Technical Specification",,,,,,"6105AK038-0100-ED24-0010_2","Technical","Specification","MV Distribution Transformers - Technical Specification","Technical","Specification",,"D1 - D1 : Received for Info Only - No Comment - Do Not Resubmit",,"PPE Technologies","DockName: MV Distribution Transformers - Technical Specification  
Discipline: Electrical  
DocumentType: Specification  
Topic: Technical  
Summary:  
- Specifies requirements for medium voltage (MV) distribution transformers.  
- Details technical parameters such as voltage ratings, power capacity, and efficiency.  
- Outlines installation guidelines and operational considerations.  
- Includes compliance standards and testing protocols.  
- Intended for use in the Reko Diq Mining Project's electrical infrastructure.  ","K110-SOLARPHOTOVOLTAICPOWERPLANT-365","Not Awarded",,,,"Electrical",,
"6105AK038-0100-ED24-0008_0.pdf","https://ppetechcoza.sharepoint.com/sites/DocumentControl/K110%20%20Solar%20Photovoltaic%20Power%20Plant%20Documents%20for%20Approval/6105AK038-0100-ED24-0008_0.pdf","pdf","https://ppetechcoza.sharepoint.com/sites/DocumentControl","K110  Solar Photovoltaic Power Plant Documents for Approval","https://ppetechcoza.sharepoint.com/sites/DocumentControl/K110%20%20Solar%20Photovoltaic%20Power%20Plant%20Documents%20for%20Approval","6105AK038-0100-ED24-0008_0","Cable Support Systems - Technical Specification",,,,,,"6105AK038-0100-ED24-0008_0","Technical","Specification","Cable Support Systems - Technical Specification","Technical","Specification",,"C1 - C1 : Data Incomplete - With Comments - Hold Work - Resubmit",,"PPE Technologies","DockName: Cable Support Systems - Technical Specification  
Discipline: Mechanical  
DocumentType: Specification  
Topic: Technical  
Summary:  
- Specifies requirements for cable support systems.  
- Covers design parameters for horizontal supports above 2000mm.  
- Intended for the engineering and supply of electrical and instrumentation equipment.  
- Includes details on materials and installation practices.  
- Aimed at ensuring structural integrity and compliance with safety standards.  ","K110-SOLARPHOTOVOLTAICPOWERPLANT-363","Not Awarded",,,,"Mechanical",,
"SendNext proof 10:39:41","https://ppetechcoza.sharepoint.com/sites/DocumentControl/K110%20%20Solar%20Photovoltaic%20Power%20Plant%20Documents%20for%20Approval/6105AK038-0100-ED24-0010_2.pdf","sendnext proof 10:39:41","https://ppetechcoza.sharepoint.com/sites/DocumentControl","K110  Solar Photovoltaic Power Plant Documents for Approval","https://ppetechcoza.sharepoint.com/sites/DocumentControl/K110%20%20Solar%20Photovoltaic%20Power%20Plant%20Documents%20for%20Approval","SendNext proof 10:39:41","Cable Support Systems - Technical Specification","1/12/2026",,,,,"SendNext proof 10:39:41","Technical","Specification","Cable Support Systems - Technical Specification","Technical","Specification",,"A1 - A1 : Data Complete - No Comments - Do Not Resubmit",,"Other","DockName: Cable Support Systems - Technical Specification  
Discipline: Mechanical  
DocumentType: Specification  
Topic: Technical  
Summary:  
- Specifies requirements for cable support systems.  
- Covers design parameters for horizontal supports above 2000mm.  
- Intended for the engineering and supply of electrical and instrumentation equipment.  
- Includes details on materials and installation practices.  
- Aimed at ensuring structural integrity and compliance with safety standards.  ","K110-SOLARPHOTOVOLTAICPOWERPLANT-361","Not Awarded",,,,"Mechanical",,
"6105AK038-0100-ED24-0014_0.pdf","https://ppetechcoza.sharepoint.com/sites/DocumentControl/K110%20%20Solar%20Photovoltaic%20Power%20Plant%20Documents%20for%20Approval/6105AK038-0100-ED24-0014_0.pdf","pdf","https://ppetechcoza.sharepoint.com/sites/DocumentControl","K110  Solar Photovoltaic Power Plant Documents for Approval","https://ppetechcoza.sharepoint.com/sites/DocumentControl/K110%20%20Solar%20Photovoltaic%20Power%20Plant%20Documents%20for%20Approval","6105AK038-0100-ED24-0014_0","Cable Support Systems - Technical Specification",,,,,,"6105AK038-0100-ED24-0014_0","Technical","Specification","Cable Support Systems - Technical Specification","Technical","Specification",,"B1 - B1 : Data Complete - With Comments - Proceed - Resubmit",,"PPE Technologies","DockName: Cable Support Systems - Technical Specification  
Discipline: Mechanical  
DocumentType: Specification  
Topic: Technical  
Summary:  
- Specifies requirements for cable support systems.  
- Covers design parameters for horizontal supports above 2000mm.  
- Intended for the engineering and supply of electrical and instrumentation equipment.  
- Includes details on materials and installation practices.  
- Aimed at ensuring structural integrity and compliance with safety standards.  ","K110-SOLARPHOTOVOLTAICPOWERPLANT-362","Not Awarded",,,,"Mechanical",,
"SendNext proof 14:28:51","https://ppetechcoza.sharepoint.com/sites/DocumentControl/K110%20%20Solar%20Photovoltaic%20Power%20Plant%20Documents%20for%20Approval/6105AK038-0100-ED24-0014_0.pdf","sendnext proof 14:28:51","https://ppetechcoza.sharepoint.com/sites/DocumentControl","K110  Solar Photovoltaic Power Plant Documents for Approval","https://ppetechcoza.sharepoint.com/sites/DocumentControl/K110%20%20Solar%20Photovoltaic%20Power%20Plant%20Documents%20for%20Approval","SendNext proof 14:28:51","MV Distribution Transformers - Technical Specification","1/12/2026",,,,,"SendNext proof 14:28:51","Technical","Specification","MV Distribution Transformers - Technical Specification","Technical","Specification",,"A1 - A1 : Data Complete - No Comments - Do Not Resubmit",,"Other","DockName: MV Distribution Transformers - Technical Specification  
Discipline: Electrical  
DocumentType: Specification  
Topic: Technical  
Summary:  
- Specifies requirements for medium voltage (MV) distribution transformers.  
- Details technical parameters such as voltage ratings, power capacity, and efficiency.  
- Outlines installation guidelines and operational considerations.  
- Includes compliance standards and testing protocols.  
- Intended for use in the Reko Diq Mining Project's electrical infrastructure.  ","K110-SOLARPHOTOVOLTAICPOWERPLANT-364","Not Awarded",,,,"Electrical",,
"SendNext proof 14:19:57","https://ppetechcoza.sharepoint.com/sites/DocumentControl/K110%20%20Solar%20Photovoltaic%20Power%20Plant%20Documents%20for%20Approval/6105AK038-0100-ED24-0014_0.pdf","sendnext proof 14:19:57","https://ppetechcoza.sharepoint.com/sites/DocumentControl","K110  Solar Photovoltaic Power Plant Documents for Approval","https://ppetechcoza.sharepoint.com/sites/DocumentControl/K110%20%20Solar%20Photovoltaic%20Power%20Plant%20Documents%20for%20Approval","SendNext proof 14:19:57","MV Distribution Transformers - Technical Specification","1/12/2026",,,,,"SendNext proof 14:19:57","Technical","Specification","MV Distribution Transformers - Technical Specification","Technical","Specification",,"A1 - A1 : Data Complete - No Comments - Do Not Resubmit",,"Other","DockName: MV Distribution Transformers - Technical Specification  
Discipline: Electrical  
DocumentType: Specification  
Topic: Technical  
Summary:  
- Specifies requirements for medium voltage (MV) distribution transformers.  
- Details technical parameters such as voltage ratings, power capacity, and efficiency.  
- Outlines installation guidelines and operational considerations.  
- Includes compliance standards and testing protocols.  
- Intended for use in the Reko Diq Mining Project's electrical infrastructure.  ","SENDNEXT PROOF 14:19:57","Not Awarded",,,,"Electrical",,
"6105AK038-0100-ED24-0015_2 .pdf","https://ppetechcoza.sharepoint.com/sites/DocumentControl/K110%20%20Solar%20Photovoltaic%20Power%20Plant%20Documents%20for%20Approval/6105AK038-0100-ED24-0015_2%20.pdf","pdf","https://ppetechcoza.sharepoint.com/sites/DocumentControl","K110  Solar Photovoltaic Power Plant Documents for Approval","https://ppetechcoza.sharepoint.com/sites/DocumentControl/K110%20%20Solar%20Photovoltaic%20Power%20Plant%20Documents%20for%20Approval","6105AK038-0100-ED24-0015_2 ","MV Distribution Transformers - Technical Specification",,,,,,"6105AK038-0100-ED24-0015_2 ","Technical","Specification","MV Distribution Transformers - Technical Specification","Technical","Specification",,"C1 - C1 : Data Incomplete - With Comments - Hold Work - Resubmit",,"PPE Technologies","DockName: MV Distribution Transformers - Technical Specification  
Discipline: Electrical  
DocumentType: Specification  
Topic: Technical  
Summary:  
- Specifies requirements for medium voltage (MV) distribution transformers.  
- Details technical parameters such as voltage ratings, power capacity, and efficiency.  
- Outlines installation guidelines and operational considerations.  
- Includes compliance standards and testing protocols.  
- Intended for use in the Reko Diq Mining Project's electrical infrastructure.  ","6105AK038-0100-ED24-0015_2","Not Awarded",,,,"Electrical",,
"6105AK038-0100-ED24-0002_1.pdf","https://ppetechcoza.sharepoint.com/sites/DocumentControl/K125%20%20220kV%20Transmission%20Substations/6105AK038-0100-ED24-0002_1.pdf","pdf","https://ppetechcoza.sharepoint.com/sites/DocumentControl","K125  220kV Transmission Substations","https://ppetechcoza.sharepoint.com/sites/DocumentControl/K125%20%20220kV%20Transmission%20Substations","6105AK038-0100-ED24-0002_1","Earthing and Lightning Protection Specification","1/21/2026",,,,,"6105AK038-0100-ED24-0002_1","Technical","Specification","Earthing and Lightning Protection Specification","Technical","Specification",,"B1 - B1 : Data Complete - With Comments - Proceed - Resubmit",,"PPE Technologies","DockName: Earthing and Lightning Protection Specification  
Discipline: Electrical  
DocumentType: Specification  
Topic: Technical  
Summary:  
- Details installation principles for earthing, lightning protection, and equipotential bonding across the plant.  
- Specifies design guidelines, including environmental conditions and standards compliance.  
- Outlines classifications of lightning protection zones and boundary management measures.  
- Discusses earth resistivity measurement methods and lightning risk assessment protocols.  
- Addresses galvanic corrosion prevention through compatible metal selection in earthing systems.  ","6105AK038-0100-ED24-0002_1","Siemens",,,,"Electrical",,
"SendNext proof 10:39:41","https://ppetechcoza.sharepoint.com/sites/DocumentControl/K110%20%20Solar%20Photovoltaic%20Power%20Plant%20Documents%20for%20Approval/6105AK038-0100-ED24-0010_2.pdf","sendnext proof 10:39:41","https://ppetechcoza.sharepoint.com/sites/DocumentControl","K110  Solar Photovoltaic Power Plant Documents for Approval","https://ppetechcoza.sharepoint.com/sites/DocumentControl/K110%20%20Solar%20Photovoltaic%20Power%20Plant%20Documents%20for%20Approval","SendNext proof 10:39:41","Cable Support Systems - Technical Specification","1/12/2026",,,,,"SendNext proof 10:39:41","Technical","Specification","Cable Support Systems - Technical Specification","Technical","Specification",,"A1 - A1 : Data Complete - No Comments - Do Not Resubmit",,"Other","DockName: Cable Support Systems - Technical Specification  
Discipline: Mechanical  
DocumentType: Specification  
Topic: Technical  
Summary:  
- Specifies requirements for cable support systems.  
- Covers design parameters for horizontal supports above 2000mm.  
- Intended for the engineering and supply of electrical and instrumentation equipment.  
- Includes details on materials and installation practices.  
- Aimed at ensuring structural integrity and compliance with safety standards.  ","SENDNEXT PROOF 10:39:41","Not Awarded",,,,"Mechanical",,
