"Project Number","Package Number","Area/ WBS No.","Discipline","Document Type","Sequential Number","Revision","Document Number","Sht. %23 of %23","Area / Facility","Major Description","Broad Type","Full Title","Due Date","IFR Transmittal Date","IFC/IFU Transmittal Date","PPE Doc Status","% Complete","As Built Required (Y/N)","Certified Final Required (Y/N)","Tag Number (if any)","Comments","RDMC Document Number","PPE Doc Number","Rev A Transmittal Date","Rev 0 Transmittal Date","Aconex Doc Status","Aconex Review Status","Doc Owner","Main Group","Sub Group","BH","Drawing Pack","SourceSite","SourceFile","SourceTable","ImportBatchID","RowKey","ImportedOn","ImportVersion","Modified","FileLink","DocKey"
"6105A","K125","0","H","PLN","1","A","6105AK125-0000-H-PLN-0001",,"General","EHS","Plan","General - EHS - Plan","4/15/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-0000-h-pln-0001_a"
"6105A","K125","0","Q","PLN","1","A","6105AK125-0000-Q-PLN-0001",,"General","Quality","Quality","General - Quality - Quality","3/31/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-0000-q-pln-0001_a"
"6105A","K125","0","G","RPT","1","A","6105AK125-0000-G-RPT-0001",,"General","Monthly Progress","Report","General - Monthly Progress - Report",,,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-0000-g-rpt-0001_a"
"6105A","K125","0","G","DDR","2","A","6105AK125-0000-G-DDR-0002",,"General","Document Control ","Document and Data Register","General - Document Control  - Document and Data Register",,,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-0000-g-ddr-0002_a"
"6105A","K125","0","C","MAN","1","A","6105AK125-0000-C-MAN-0001",,"General","Civil Contractor","Mannual","General - Civil Contractor - Mannual",,,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-0000-c-man-0001_a"
"6105A","K125","0","E","MAN","1","A","6105AK125-0000-E-MAN-0001",,"General","ETC Contractor","Mannual","General - ETC Contractor - Mannual",,,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-0000-e-man-0001_a"
"6105A","K125","6,242","E","SLD","1","A","6105AK125-6242-E-SLD-0001","Sht. 1 of 1","33/220 kV Power Station Substation","Overall","Single Line Diagram","33/220 kV Power Station Substation - Overall - Single Line Diagram","2/4/2026 12:00 AM","2/10/2026 12:00 AM",,,"33%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-sld-0001_a"
"6105A","K125","6,242","E","LAY","1","A","6105AK125-6242-E-LAY-0001",,"33/220 kV Power Station Substation","Equipment","Layout","33/220 kV Power Station Substation - Equipment - Layout","4/30/2026 12:00 AM","2/13/2026 12:00 AM",,,"33%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-lay-0001_a"
"6105A","K125","6,242","E","LAY","2","A","6105AK125-6242-E-LAY-0002",,"33/220 kV Power Station Substation","E-House","Layout","33/220 kV Power Station Substation - E-House - Layout","6/11/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-lay-0002_a"
"6105A","K125","6,242","E","LAY","3","A","6105AK125-6242-E-LAY-0003",,"33/220 kV Power Station Substation","Foundation and Trench","Layout","33/220 kV Power Station Substation - Foundation and Trench - Layout","6/17/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-lay-0003_a"
